Infraphylum,Class,Order,Family,Taxon_name,Short_name,Category
Gnathostomata,Teleostei,Salmoniformes,Salmonidae,Salvelinus fontinalis,Brook Trout,0
Gnathostomata,Teleostei,Scorpaeniformes,Cottidae,Cottus cognatus,Slimy Sculpin,0
Gnathostomata,Teleostei,Salmoniformes,Salmonidae,Salmo trutta,Brown Trout,1
Gnathostomata,Teleostei,Anguilliformes,Anguillidae,Anguilla rostrata,American Eel,2
Gnathostomata,Teleostei,Perciformes,Centrarchidae,Lepomis macrochirus,Bluegill,2
Gnathostomata,Teleostei,Cypriniformes,Cyprinidae,Luxilus cornutus,Common Shiner,2
Gnathostomata,Teleostei,CypriniformesÂ ,Cyprinidae,Semotilus corporalis,Fallfish,2
Gnathostomata,Teleostei,Perciformes,Percidae,Etheostoma olmstedi,Tessellated Darter,2
Gnathostomata,Teleostei,Siluriformes,Ictaluridae,Ameiurus nebulosus,Brown Bullhead,3
Gnathostomata,Teleostei,Cypriniformes,Cyprinidae,Exoglossum maxillingua,Cutlips Minnow,3
Gnathostomata,Teleostei,Perciformes,Centrarchidae,Lepomis auritus,Redbreast Sunfish,3
Gnathostomata,Teleostei,Perciformes,Centrarchidae,Ambloplites rupestris,Rock Bass,3
Gnathostomata,Teleostei,Perciformes,Centrarchidae,Micropterus dolomieu,Smallmouth Bass,3
Gnathostomata,Teleostei,Siluriformes,Ictaluridae,Ameiurus natalis,Yellow Bullhead,3
